round,draw_date,scheduled_draw_datetime,actual_draw_datetime,draw_location_name,weather_station_id,weather_station_name,is_time_exception,is_location_exception,metadata_quality,notes
1,2002-12-07,2002-12-07 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
2,2002-12-14,2002-12-14 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
3,2002-12-21,2002-12-21 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
4,2002-12-28,2002-12-28 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
5,2003-01-04,2003-01-04 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
6,2003-01-11,2003-01-11 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
7,2003-01-18,2003-01-18 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
8,2003-01-25,2003-01-25 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
9,2003-02-01,2003-02-01 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
10,2003-02-08,2003-02-08 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
11,2003-02-15,2003-02-15 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
12,2003-02-22,2003-02-22 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
13,2003-03-01,2003-03-01 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
14,2003-03-08,2003-03-08 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
15,2003-03-15,2003-03-15 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
16,2003-03-22,2003-03-22 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
17,2003-03-29,2003-03-29 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
18,2003-04-05,2003-04-05 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
19,2003-04-12,2003-04-12 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
20,2003-04-19,2003-04-19 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
21,2003-04-26,2003-04-26 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
22,2003-05-03,2003-05-03 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
23,2003-05-10,2003-05-10 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
24,2003-05-17,2003-05-17 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
25,2003-05-24,2003-05-24 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
26,2003-05-31,2003-05-31 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
27,2003-06-07,2003-06-07 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
28,2003-06-14,2003-06-14 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
29,2003-06-21,2003-06-21 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
30,2003-06-28,2003-06-28 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
31,2003-07-05,2003-07-05 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
32,2003-07-12,2003-07-12 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
33,2003-07-19,2003-07-19 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
34,2003-07-26,2003-07-26 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
35,2003-08-02,2003-08-02 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
36,2003-08-09,2003-08-09 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
37,2003-08-16,2003-08-16 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
38,2003-08-23,2003-08-23 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
39,2003-08-30,2003-08-30 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
40,2003-09-06,2003-09-06 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
41,2003-09-13,2003-09-13 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
42,2003-09-20,2003-09-20 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
43,2003-09-27,2003-09-27 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
44,2003-10-04,2003-10-04 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
45,2003-10-11,2003-10-11 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
46,2003-10-18,2003-10-18 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
47,2003-10-25,2003-10-25 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
48,2003-11-01,2003-11-01 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
49,2003-11-08,2003-11-08 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
50,2003-11-15,2003-11-15 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
51,2003-11-22,2003-11-22 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
52,2003-11-29,2003-11-29 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
53,2003-12-06,2003-12-06 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
54,2003-12-13,2003-12-13 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
55,2003-12-20,2003-12-20 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
56,2003-12-27,2003-12-27 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
57,2004-01-03,2004-01-03 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
58,2004-01-10,2004-01-10 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
59,2004-01-17,2004-01-17 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
60,2004-01-24,2004-01-24 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
61,2004-01-31,2004-01-31 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
62,2004-02-07,2004-02-07 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
63,2004-02-14,2004-02-14 20:35:00,,MBC Studio,108,Seoul ASOS,False,False,default_rule,
